Checked,Protein FDR Confidence: Combined,Master,Accession,Description,# Peptides,# PSMs,"Abundance Ratio P-Value: (DZNep, Global) / (Control, Global)","Abundance Ratio P-Value: (DZNep, PISA) / (Control, PISA)","Abundance Ratio: (DZNep, Global) / (Control, Global)","Abundance Ratio: (DZNep, PISA) / (Control, PISA)","Abundance Ratio (log2): (DZNep, Global) / (Control, Global)","Abundance Ratio (log2): (DZNep, PISA) / (Control, PISA)","Abundances (Grouped): Control, Global","Abundances (Grouped): Control, PISA","Abundances (Grouped): DZNep, Global","Abundances (Grouped): DZNep, PISA","Abundances (Grouped) CV [%]: Control, Global","Abundances (Grouped) CV [%]: Control, PISA","Abundances (Grouped) CV [%]: DZNep, Global","Abundances (Grouped) CV [%]: DZNep, PISA",# Unique Peptides,# Isoforms,"Abundances (Normalized): F3: 127N, Sample, Control, Global","Abundances (Normalized): F3: 129N, Sample, Control, Global","Abundances (Normalized): F3: 131N, Sample, Control, Global","Abundances (Normalized): F3: 133N, Sample, Control, Global","Abundances (Normalized): F3: 126, Sample, Control, PISA","Abundances (Normalized): F3: 128C, Sample, Control, PISA","Abundances (Normalized): F3: 130C, Sample, Control, PISA","Abundances (Normalized): F3: 132C, Sample, Control, PISA","Abundances (Normalized): F3: 128N, Sample, DZNep, Global","Abundances (Normalized): F3: 130N, Sample, DZNep, Global","Abundances (Normalized): F3: 132N, Sample, DZNep, Global","Abundances (Normalized): F3: 133C, Sample, DZNep, Global","Abundances (Normalized): F3: 127C, Sample, DZNep, PISA","Abundances (Normalized): F3: 129C, Sample, DZNep, PISA","Abundances (Normalized): F3: 131C, Sample, DZNep, PISA","Abundances (Normalized): F3: 134N, Sample, DZNep, PISA",# Protein Groups,Sum PEP Score,Coverage [%],"Abundance: F3: 127N, Sample, Control, Global","Abundance: F3: 129N, Sample, Control, Global","Abundance: F3: 131N, Sample, Control, Global","Abundance: F3: 133N, Sample, Control, Global","Abundance: F3: 126, Sample, Control, PISA","Abundance: F3: 128C, Sample, Control, PISA","Abundance: F3: 130C, Sample, Control, PISA","Abundance: F3: 132C, Sample, Control, PISA","Abundance: F3: 128N, Sample, DZNep, Global","Abundance: F3: 130N, Sample, DZNep, Global","Abundance: F3: 132N, Sample, DZNep, Global","Abundance: F3: 133C, Sample, DZNep, Global","Abundance: F3: 127C, Sample, DZNep, PISA","Abundance: F3: 129C, Sample, DZNep, PISA","Abundance: F3: 131C, Sample, DZNep, PISA","Abundance: F3: 134N, Sample, DZNep, PISA"
FALSE,High,Master Protein,Q9NQ88,"Fructose-2,6-bisphosphatase TIGAR OS=Homo sapiens OX=9606 GN=TIGAR PE=1 SV=1",14,80,1.94191748681405E-07,1.75428535418298E-05,1.231,1.137,0.3,0.19,17689.8,14870.3,21773,16910.5,1.15,2.47,1.09,3.55,14,19,17522,17805,17961.2,17575.3,15007.2,14928,14812.9,14205.2,21721.7,21824.4,21332.3,21835.4,16697.1,17126.5,17447.1,16063.8,1,92.141,38,5040.3,4893.3,10006.1,11794.7,9788.9,11308.8,8286.7,6876.1,10426.1,7382,9852.7,21835.4,5975.7,6160.6,10160.9,7386.7
FALSE,High,Master Protein,P04083,Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2,5,15,2.06028053062468E-07,4.2699023827808E-06,2.331,1.846,1.22,0.88,670.3,592.4,1562.3,1093.7,4.28,3.63,16.14,6.35,5,8,657.9,624.1,684.8,682.9,555,585.2,599.7,600.4,1440.2,1694.6,1720.4,1200.3,1001.1,1158.4,1064.7,1123.5,1,25.377,20,189.2,171.5,381.5,458.3,362,443.3,335.5,290.6,691.3,573.2,794.6,1200.3,358.3,416.7,620.1,516.6
FALSE,High,Master Protein,Q96HY7,"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial OS=Homo sapiens OX=9606 GN=DHTKD1 PE=1 SV=2",5,12,2.17844097316622E-07,1.29567371143224E-06,0.494,0.573,-1.02,-0.8,2777.9,2169.8,1372.3,1244.1,8.24,9.31,7.96,8.45,5,5,2558.7,2725.6,3109.3,2831.2,2169,2147,2583.9,2170.5,1450.7,1404.4,1341,1203.6,1248.1,1069.6,1309.2,1240.1,1,14.925,6,736,749.1,1732.2,1900,1414.8,1626.5,1445.5,1050.6,696.3,475,619.4,1203.6,446.7,384.7,762.5,570.3
FALSE,High,Master Protein,Q92841,Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2,80,531,2.37426183602452E-07,1.2590196861062E-05,1.548,1.362,0.63,0.45,111009.6,86060.4,171886.7,117255.9,4.48,5,7.62,2.97,67,98,113175.9,108884.7,103145.8,113805.9,92138.1,88461.6,82820,83724.5,179883,159167.1,164245.9,187271.9,123633.7,117890.6,116624.6,115881.3,1,609.223,52,32556,29924.8,57461.8,76374.6,60099.9,67014.7,46331.3,40527.3,86340.9,53837.4,75859.9,187271.9,44246.8,42406.2,67920.3,53286.5
FALSE,High,Master Protein,Q9Y6A5,Transforming acidic coiled-coil-containing protein 3 OS=Homo sapiens OX=9606 GN=TACC3 PE=1 SV=1,31,149,2.7759851772835E-07,7.38694757584923E-08,1.481,1.52,0.57,0.6,20129.4,19451.6,29810.2,29559.5,2.57,3.38,5.87,5.18,30,38,19879,19590.9,20382.9,20756,19089.2,18629.2,19820.9,20050.5,29226.4,27102.7,30405.5,31030.7,28366.7,31228.6,30798.7,28370,1,172.446,35,5718.4,5384.2,11355.2,13929.3,12451.5,14112.7,11088.2,9705.6,14028.2,9167.3,14043.3,31030.7,10152,11233.2,17936.7,13045.6
FALSE,High,Master Protein,Q86Y56,Dynein axonemal assembly factor 5 OS=Homo sapiens OX=9606 GN=DNAAF5 PE=1 SV=4,6,31,2.83003673384741E-07,0.0632443906161141,0.682,0.903,-0.55,-0.15,3060.3,2030.2,2088.5,1833,5.83,3.18,4.99,3.29,6,6,3149.2,2802.8,3186.3,2973.9,1947.5,2043.5,2102.9,2017,2018.1,1958.6,2161.5,2163.9,1838.2,1827.8,1942.7,1805.1,1,39.763,9,905.9,770.3,1775.1,1995.8,1270.3,1548.1,1176.4,976.3,968.6,662.5,998.3,2163.9,657.9,657.5,1131.4,830.1
FALSE,High,Master Protein,Q96PZ0,Pseudouridylate synthase 7 homolog OS=Homo sapiens OX=9606 GN=PUS7 PE=1 SV=2,10,25,3.13516980821049E-07,7.32712071349617E-07,0.753,0.775,-0.41,-0.37,5681.4,5282.2,4276.5,4093.4,3.9,2.18,3.04,3.8,10,10,5738.1,5953.1,5421.4,5625.3,5323.9,5240.7,5454.3,5190.1,4322,4505.5,4223.1,4231.5,4190.7,3998.4,4298.8,3972.9,1,61.895,15,1650.6,1636.1,3020.2,3775.1,3472.7,3970.1,3051.3,2512.3,2074.5,1524,1950.5,4231.5,1499.8,1438.3,2503.5,1826.9
FALSE,High,Master Protein,Q66K74,Microtubule-associated protein 1S OS=Homo sapiens OX=9606 GN=MAP1S PE=1 SV=2,12,38,3.26840302267151E-07,2.00880535361492E-06,1.443,1.356,0.53,0.44,8583.3,7107.9,12388.9,9637.9,5.82,1.72,3.79,4.88,12,12,8366.3,8156.9,9294.1,8805.9,7162.9,7053.4,7215.9,6940.3,12030.8,11927.2,12757.8,12816.6,9039.8,10159.3,9765.3,9512.2,1,44.657,12,2406.6,2241.8,5177.7,5909.6,4672.2,5343.3,4036.7,3359.5,5774.6,4034.3,5892.4,12816.6,3235.2,3654.4,5687.2,4374
FALSE,High,Master Protein,Q8WXI9,Transcriptional repressor p66-beta OS=Homo sapiens OX=9606 GN=GATAD2B PE=1 SV=1,22,84,4.29531122447813E-07,1.50315682667657E-06,1.42,1.346,0.51,0.43,12002.8,9257.7,17046.6,12462.4,4.88,4.55,4.85,2.17,20,22,11725.6,11440.3,12286.4,12760.3,9402.8,8670.8,9114.8,9645.9,16822.4,16031.4,17273.8,18001.6,12611.2,12305.5,12315.4,12873.9,1,93.811,33,3373,3144.1,6844.7,8563.3,6133.3,6568.6,5099,4669.2,8074.5,5422.5,7978.2,18001.6,4513.4,4426.4,7172.3,5919.9
FALSE,High,Master Protein,Q14137,Ribosome biogenesis protein BOP1 OS=Homo sapiens OX=9606 GN=BOP1 PE=1 SV=2,10,31,4.56027665962644E-07,3.95511282722527E-05,1.33,1.202,0.41,0.27,6290.3,4315.8,8368.7,5188,2.8,4.39,1.99,4.56,10,10,6346.9,6037.4,6447.3,6234.3,4197.1,4608,4411.5,4222.2,8448.2,8148.8,8289.9,8520.5,5217.4,5158.7,5610.1,5064.3,1,35.818,17,1825.7,1659.3,3591.7,4183.8,2737.7,3490.8,2467.9,2043.8,4055,2756.3,3828.8,8520.5,1867.2,1855.6,3267.2,2328.7
FALSE,High,Master Protein,Q969T7,7-methylguanosine phosphate-specific 5'-nucleotidase OS=Homo sapiens OX=9606 GN=NT5C3B PE=1 SV=4,10,27,9.15988144223334E-07,4.96580312825401E-06,1.373,1.287,0.46,0.36,5751.4,4727.4,7894.4,6086.5,6.82,2.36,1.84,3.27,10,12,6308.6,5349.7,5786.5,5716.4,4658.7,4647.6,4797.2,4879.4,7634,7869.9,7955.2,7919,6108,6012.2,6456.5,6065.1,1,39.58,31,1814.7,1470.3,3223.6,3836.3,3038.8,3520.8,2683.7,2361.9,3664.2,2662,3674.2,7919,2186,2162.6,3760.2,2788.9
FALSE,High,Master Protein,Q99661,Kinesin-like protein KIF2C OS=Homo sapiens OX=9606 GN=KIF2C PE=1 SV=2,28,92,9.5959149593039E-07,3.62598861447516E-06,1.423,1.318,0.51,0.4,18037,15205.3,25657.8,20040.1,4.12,5.52,3.12,4.82,25,31,19080.7,18464.6,17489.7,17619.4,15828.8,13892.7,15395.4,15017.6,25512.4,25804.1,26210.4,24357.6,21638.8,20185,19350.1,19896.2,1,134.121,41,5488.7,5074.6,9743.4,11824.3,10324.8,10524.5,8612.5,7269.4,12245.5,8728.1,12105.7,24357.6,7744.2,7260.7,11269.2,9149
FALSE,High,Master Protein,Q9NQW6,Anillin OS=Homo sapiens OX=9606 GN=ANLN PE=1 SV=2,13,32,1.09998730857264E-06,2.79012337811579E-06,1.671,1.56,0.74,0.64,3510.9,2975.3,5867.8,4640.3,11.09,0.62,5.45,4.34,13,13,3293.5,3244.3,3742.7,4085.3,2941.2,2976.6,2974.1,2981.8,5375,5892.3,5843.5,6131.3,4527.4,4405.9,4756,4841.1,1,56.866,13,947.4,891.6,2085,2741.6,1918.5,2255,1663.8,1443.3,2579.9,1993,2698.9,6131.3,1620.3,1584.8,2769.8,2226.1
FALSE,High,Master Protein,Q05048,Cleavage stimulation factor subunit 1 OS=Homo sapiens OX=9606 GN=CSTF1 PE=1 SV=1,18,72,1.12924319450869E-06,2.42085117174717E-06,1.277,1.243,0.35,0.31,13369.2,12133.7,17074.3,15083.6,2.54,1.56,4.05,3.74,18,21,13562.1,13131.7,13853.3,13179,11846,12100.3,12167.3,12293.4,16135.2,16648.8,17537.9,17510.6,14725.5,14409,15450.3,15571.4,1,110.663,44,3901.2,3609,7717.6,8844.4,7726.9,9166.6,6806.6,5950.7,7744.6,5631.4,8100.2,17510.6,5270.1,5183.1,8998,7160.3
FALSE,High,Master Protein,Q7Z7A3,Cytoplasmic tRNA 2-thiolation protein 1 OS=Homo sapiens OX=9606 GN=CTU1 PE=1 SV=1,6,17,1.14450373223107E-06,6.00398823769055E-07,1.306,1.317,0.39,0.4,875.6,835.7,1143.5,1100.3,4.59,4.22,3.43,1.53,6,6,827.3,891.4,860.1,920.6,786.7,818.1,863.2,853.6,1125.2,1192.2,1103.5,1162.1,1093.7,1092.1,1107,1128.7,1,37.118,22,238,245,479.2,617.8,513.2,619.8,482.9,413.2,540.1,403.3,509.7,1162.1,391.4,392.8,644.7,519
FALSE,High,Master Protein,Q9H6Z4,Ran-binding protein 3 OS=Homo sapiens OX=9606 GN=RANBP3 PE=1 SV=1,22,82,1.18361574763526E-06,1.78950437912384E-07,1.152,1.186,0.2,0.25,16123.9,17460.3,18582.6,20712.1,1.4,2.45,1.66,2.17,22,26,15767.9,16141.6,16106.2,16302.9,17418.3,17025.5,18064,17502.4,18573,18953.9,18198.9,18592.3,20300.8,20797.3,21375.6,20627.3,1,132.083,34,4535.8,4436.2,8972.7,10940.8,11361.6,12897.8,10105.4,8472.2,8914.7,6411.1,8405.5,18592.3,7265.4,7481,12448.8,9485.2
FALSE,High,Master Protein,O00233,26S proteasome non-ATPase regulatory subunit 9 OS=Homo sapiens OX=9606 GN=PSMD9 PE=1 SV=3,16,80,1.21711913569911E-06,1.24261450815677E-05,1.308,1.218,0.39,0.28,15629.8,18493.2,20441.2,22527.6,2.21,5.04,2,3.56,16,23,16227.9,15586.7,15431,15673,18238.1,16841.5,18806.9,18751.9,20498.9,19735.5,20383.6,20663.3,22654.8,21154.5,22968,22401.1,1,116.796,53,4668.1,4283.7,8596.5,10518.1,11896.3,12758.4,10520.9,9077,9839.1,6675.4,9414.5,20663.3,8107.8,7609.5,13376.2,10300.9
FALSE,High,Master Protein,Q9UBB4,Ataxin-10 OS=Homo sapiens OX=9606 GN=ATXN10 PE=1 SV=1,7,19,1.41638408879263E-06,4.80758211471866E-05,0.388,0.507,-1.37,-0.98,10668.7,7893.1,4139.4,4004.6,6.98,9.46,6.79,20.43,7,7,10613.1,9293.3,10845.9,10724.5,6697.8,8179.7,7616.6,8290.1,4051.1,3997.7,4631.6,4229.7,3316.4,3498.4,4584.1,5053.1,1,17.067,8,3052.9,2554.1,6042.2,7197.2,4368.8,6196.6,4260.9,4012.9,1944.4,1352.2,2139.2,4229.7,1186.9,1258.4,2669.7,2323.6
FALSE,High,Master Protein,P12268,Inosine-5'-monophosphate dehydrogenase 2 OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=2,53,330,1.48078094319715E-06,8.34734260601877E-08,0.835,0.786,-0.26,-0.35,105236.3,107738,87891.4,84710.1,1.24,2.79,1.92,3.09,49,65,103512.5,106659.4,105017.2,105455.9,107468,102237.9,108775.8,108008.6,88081.6,87442.2,91104.8,87701.7,83747.1,88952.6,85684.1,83057.7,1,466.377,63,29776.2,29313.2,58504.3,70771,70099.3,77451,60851.5,52282.2,42277.7,29576.9,42078.3,87701.7,29971.9,31997,49901.1,38193
FALSE,High,Master Protein,Q96BH1,E3 ubiquitin-protein ligase RNF25 OS=Homo sapiens OX=9606 GN=RNF25 PE=1 SV=1,4,16,1.49862011689095E-06,5.78114544724784E-06,1.869,1.778,0.9,0.83,1642.7,1528.1,3070.4,2716.5,14.25,6.42,5.18,5.44,4,4,1344.3,1540,1752.2,1867.6,1554.8,1644.1,1409.9,1501.9,3231.8,3053.3,2848.1,3087.6,2808.3,2702.7,2730.3,2470,1,17.399,10,386.7,423.2,976.2,1253.3,1014.2,1245.5,788.7,727,1551.2,1032.8,1315.4,3087.6,1005.1,972.2,1590.1,1135.8
FALSE,High,Master Protein,P39748,Flap endonuclease 1 OS=Homo sapiens OX=9606 GN=FEN1 PE=1 SV=1,37,268,1.65996321355166E-06,2.18541246018722E-05,1.367,1.254,0.45,0.33,61660.2,48457.1,84283.9,60747.7,1.75,5.17,6.14,2.03,37,45,59692.7,61490.4,62036.4,61830.4,47685.1,44246.7,49696,49241.5,81642.7,87919.2,87010.5,76920,60663.3,60832.3,58965.7,61950.6,1,320.334,59,17171.1,16899.4,34560,41494.1,31104.1,33519.4,27801,23835.6,39187.1,29738.2,40187.3,76920,21710.6,21881.9,34340.7,28487.2
FALSE,High,Master Protein,Q99707,Methionine synthase OS=Homo sapiens OX=9606 GN=MTR PE=1 SV=2,5,16,1.70180372771611E-06,0.00307785103936276,0.488,0.719,-1.03,-0.48,1323.2,724.8,646,520.8,7.37,13.79,10.06,6.97,5,6,1195.8,1407.8,1273.7,1374.6,611.2,854.4,706.5,743.5,570,720.7,620.8,672.2,507.5,487,571.7,534.4,1,21.462,5,344,386.9,709.5,922.5,398.7,647.2,395.2,359.9,273.6,243.8,286.7,672.2,181.6,175.2,333,245.8
FALSE,High,Master Protein,Q9H0G5,Nuclear speckle splicing regulatory protein 1 OS=Homo sapiens OX=9606 GN=NSRP1 PE=1 SV=1,12,39,1.86072096530765E-06,1.04302869119444E-06,1.566,1.569,0.65,0.65,4615.9,5014.8,7227.4,7870,3.14,6.62,5.95,8.04,12,13,4603.1,4628.7,4401.5,4749.4,5351.1,5068.1,4554.6,4962.1,7282.9,7172.3,6570.5,7586,8681.5,8272.7,7342.3,7486.8,1,62.987,22,1324.1,1272.1,2452,3187.3,3490.4,3839.4,2547.9,2401.9,3495.7,2426,3034.7,7586,3107,2975.8,4276,3442.7
FALSE,High,Master Protein,Q9BYD6,"39S ribosomal protein L1, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL1 PE=1 SV=2",10,28,1.9557771044898E-06,5.9925968024066E-05,1.52,1.337,0.6,0.42,3630.7,2579.7,5519.8,3449.4,5.84,4.74,5.63,6.91,10,10,3354,3514.9,3806.7,3750.2,2512.4,2443.9,2648.9,2710,5736.9,5452.6,5588,5024.4,3239.4,3603.1,3302.3,3741.6,1,46.287,26,964.8,966,2120.7,2516.7,1638.8,1851.4,1481.9,1311.8,2753.6,1844.3,2580.9,5024.4,1159.3,1296.1,1923.2,1720.5
FALSE,High,Master Protein,Q01813,"ATP-dependent 6-phosphofructokinase, platelet type OS=Homo sapiens OX=9606 GN=PFKP PE=1 SV=2",25,121,1.97865747586512E-06,1.77021503899866E-07,0.621,0.566,-0.69,-0.82,36712.8,48462.3,22811.4,27441.2,6.36,5.65,3.59,9.48,23,30,39814.3,36591.8,36834.2,34090,49449.7,47494.6,51460.7,45067.2,23293.7,23859,22339.1,22099.5,29240.4,23271.4,27775,27111.4,1,177.966,30,11452.9,10056.5,20520.1,22877.6,32255.1,35979.9,28788.2,21815,11180.6,8070.2,10317.7,22099.5,10464.7,8370.9,16175.7,12466.8
FALSE,High,Master Protein,Q9Y3E7,Charged multivesicular body protein 3 OS=Homo sapiens OX=9606 GN=CHMP3 PE=1 SV=3,7,22,1.98588785704779E-06,4.77616855087959E-06,0.541,0.596,-0.89,-0.75,9790.9,8847.3,5297.4,5270.2,8.43,6.69,5.6,9.95,7,8,8233.1,9879.8,9778.2,9803.5,7890.9,9196,8663.3,9035.2,4999.1,5219.2,5708.1,5376.7,4449.1,5172,5370.4,5651.5,1,18.033,23,2368.3,2715.3,5447.4,6579.1,5147.1,6966.5,4846.4,4373.5,2399.5,1765.4,2636.4,5376.7,1592.3,1860.4,3127.6,2598.8
FALSE,High,Master Protein,O94992,Protein HEXIM1 OS=Homo sapiens OX=9606 GN=HEXIM1 PE=1 SV=1,15,45,2.17424147330725E-06,5.25215309798988E-07,1.572,1.7,0.65,0.77,7210.2,7964.3,11337.7,13542.8,5.87,2.63,4.23,11.45,15,20,6419.8,7301.2,7238.9,7181.7,7853,8326.7,7909.7,8019.3,11389.1,10710.7,11286.6,11876,12329.7,16056.1,13230.1,13862.8,1,76.933,27,1846.7,2006.6,4032.7,4819.6,5122.4,6308,4424.9,3881.8,5466.6,3622.8,5212.9,11876,4412.6,5775.5,7705,6374.6
