"","Accession","Cont_Global_Rep1.x","Cont_Global_Rep2.x","Cont_Global_Rep3.x","Cont_Global_Rep4.x","Cont_PISA_Rep1.x","Cont_PISA_Rep2.x","Cont_PISA_Rep3.x","Cont_PISA_Rep4.x","DZNep_Global_Rep1.x","DZNep_Global_Rep2.x","DZNep_Global_Rep3.x","DZNep_Global_Rep4.x","DZNep_PISA_Rep1.x","DZNep_PISA_Rep2.x","DZNep_PISA_Rep3.x","DZNep_PISA_Rep4.x","U1","Methyl_state","Format2","Format3","Format4","cont_global_mean","cont_global_sd","dznep_global_mean","dznep_global_sd","FC_global","log10FC_global","pval","p.adjust","protein_type","rep1_sm","rep2_sm","rep3_sm","rep4_sm","pisa_sm_mean","pisa_sm_sd","pval.pisa","log10.pvalue_pisa","protein_type.pisa","Gene.Name","DZNep_Kme_global_Norm_rep1","DZNep_Kme_global_Norm_rep2","DZNep_Kme_global_Norm_rep3","DZNep_Kme_global_Norm_rep4","Cont_Kme_global_Norm_rep1","Cont_Kme_global_Norm_rep2","Cont_Kme_global_Norm_rep3","Cont_Kme_global_Norm_rep4","Norm_FC_global_rep1","Norm_FC_global_rep2","Norm_FC_global_rep3","Norm_FC_global_rep4","kme_cont_pisa_rep1_norm","kme_cont_pisa_rep2_norm","kme_cont_pisa_rep3_norm","kme_cont_pisa_rep4_norm","kme_dznep_pisa_rep1_norm","kme_dznep_pisa_rep2_norm","kme_dznep_pisa_rep3_norm","kme_dznep_pisa_rep4_norm","kme_rep1_sm","kme_rep2_sm","kme_rep3_sm","kme_rep4_sm","Norm_Global_Kme_FC_mean","Norm_Global_Kme_FC_sd","Norm.global.kme.pval","Norm_global_kme_protein_type","kme.pisa.sm.mean","kme.pisa.sm.sd","kme.pisa.pval","global_kme_pisa_type"
"11","P0DMV9",1005.4,956.3,962.4,1063.6,785.6,783.6,962.4,1133.9,1005.9,1181.1,1269.4,839.4,786.8,1050.8,883.7,1157.3,"P0DMV9","m1","P0DMV9-K102","P0DMV9-K102-m1","P0DMV9-K102-m1-19",431202.425,18357.8174406028,385447.7,26314.2197487721,0.893890381066387,-0.0487157360328395,0.0330108648355609,1.48134309765115,"Down with DZNep",0.907541765924525,0.997448260870344,1.04049505110118,0.972860169593416,0.979586311872365,0.0555715194658705,0.64343118203719,0.191497896094075,"ns","HSPA1A",0.0026439374086785,0.00330057720279505,0.0033207877283107,0.00199273414092006,0.00245920986814829,0.00225131958685708,0.00218535507819161,0.0023592564659953,1.07511662299456,1.46606337992323,1.5195643771806,0.844644984401638,0.781380545056694,0.819408135522326,1,1.06609627679579,0.782185107863605,0.889679112691559,0.696155664093273,1.3787228973076,1.00102966833766,1.0857582126939,0.696155664093273,1.29324426631657,1.22634734112501,0.322494149158688,0.211173465528049,"ns",1.01904695286035,0.247802317582938,0.910598789323707,"ns"
"12","P40925",1852.3,1712.9,1121.2,1056.9,1770.9,1267.3,1799.3,1464.8,1317.6,1580.1,1304.5,1014,1941,1963.2,1458.1,1471.1,"P40925","m1","P40925-K214","P40925-K214-m1","P40925-K214-m1-20",119979.95,17365.2695298211,109656.025,5438.65529604209,0.91395291463282,-0.0390761778349684,0.326669760739559,0.485891065560575,"ns",1.30629150778435,1.20202976536323,0.918456965215317,0.952175881045928,1.09473852985221,0.189442489562516,0.370733507494769,0.430938159957923,"ns","MDH1",0.0120919006474526,0.0134420768225622,0.0122865280503931,0.00957176273355951,0.0130281818923534,0.0136792449063201,0.0103542153809782,0.0101390923454601,0.928134159268199,0.982662194778875,1.18662086872992,0.944045325501482,0.956054634778384,0.739856383910328,1.6047984302533,1.38594001324629,1.47313296903461,1.24245300930321,1.11774626293599,1.45078895463511,1.54084600968028,1.6793164677941,0.696502589898201,1.04679058311977,1.01036563706962,0.119713250547972,0.969981529172195,"ns",1.24086391262309,0.453219449639323,0.52442775936179,"ns"
"13","P67809",0.1,31,12.1,20.1,21.9,21.2,23.5,18.5,20.6,19.4,26,19.1,24.7,17.9,17.6,16,"P67809","m1","P67809-K296","P67809-K296-m1","P67809-K296-m1-21",25954.25,4551.74013208136,30463.7,3477.7251769895,1.17374611094522,0.0695741662983815,0.169834005276138,0.769975348101604,"ns",0.6018024612063,0.941621488373315,0.967675085369714,0.911283326010515,0.855595590239961,0.170757473860968,0.186933689266887,0.728312422836142,"ns","YBX1",0.000615649450398379,0.000713256272243301,0.000938096457964258,0.000570501772737184,4.98236243697312e-06,0.00113343448931464,0.000476154872323596,0.000648726108482497,123.565769890558,0.629287602386787,1.97014986612743,0.879418548563898,219,0.683870967741936,1.94214876033058,0.920398009950249,1.19902912621359,0.922680412371134,0.676923076923077,0.837696335078534,0.00547501884115796,1.34920248978798,0.348543371522095,0.910145747842083,31.761156476909,61.2058442634595,0.594405284620643,"ns",0.653341656998329,0.595204114947446,0.388939460921997,"ns"
"14","Q14683",1829.1,2113.7,3128.6,2691,2232,4098.6,2467.7,2152.6,2172.2,1970.9,2032.3,2839.7,2134.6,2505.1,3638.6,2452.5,"Q14683","m1","Q14683-K540","Q14683-K540-m1","Q14683-K540-m1-22",82735.325,8546.71719175458,88467.975,4593.49177088266,1.0692890249721,0.0290951093106696,0.294815772253595,0.530449286011519,"ns",0.852625694598181,0.949873484249651,1.14401350465673,1.03579874980898,0.995577858328385,0.124063252869229,0.831155748091687,0.080317587288212,"ns","SMC1A",0.0244834656017565,0.0233885581308141,0.0236056213041807,0.0299580542931051,0.0253418679080594,0.0266061628316802,0.0351601965806299,0.0297877992893435,0.966127109910874,0.879065436033681,0.671373416529339,1.00571559523776,1.22027226504838,1.93906420021763,0.788755353832385,0.799925678186548,0.982690360003683,1.27104368562586,1.79038527776411,0.863647568405113,0.805304183460007,0.655493348535444,2.26988668801426,1.0796597633458,0.880570389427915,0.149160889994255,0.204940684252798,"ns",1.20258599583888,0.73289035772379,0.910550406072292,"ns"
"15","Q8WYA0",81.5,89,113.8,115.1,76.5,86,77.3,67.7,113.6,67.2,112.1,139.3,69.1,80.5,101,70.8,"Q8WYA0","m1","Q8WYA0-K472","Q8WYA0-K472-m1","Q8WYA0-K472-m1-23",501.65,70.0430581856618,423.525,49.6766460891501,0.844263929034187,-0.0735217654538378,0.124051942033457,0.906396432457375,"ns",0.984718433906488,1.08884209367301,1.17904399526186,1.24407665763558,1.12417029511924,0.112669963688003,0.293457580956046,0.532454666777936,"ns","IFT81",0.266042154566745,0.187290969899666,0.233590331319025,0.32516339869281,0.175987907579357,0.210700757575758,0.20209554253241,0.206272401433692,1.5117070157038,0.888895569501334,1.15584108581496,1.57637859661675,0.938650306748466,0.966292134831461,0.679261862917399,0.588184187662902,0.608274647887324,1.19791666666667,0.900981266726137,0.508255563531945,0.648031160821136,1.23970445736434,1.32641226589178,0.864109532681343,1.28320556690921,0.321385242634304,0.156552405935005,"ns",1.01956435418965,0.318758226689396,0.955118612148245,"ns"
"16","Q9Y605",1611.9,1829.3,2146.3,2051.8,2614.3,2984.7,2310.5,2154,1975.3,1763.7,1847.5,2309,2253.6,2113.2,2676.5,2096.4,"Q9Y605","m1","Q9Y605-K99","Q9Y605-K99-m1","Q9Y605-K99-m1-24",1960,244.944469897431,2016.325,251.84171450867,1.02873724489796,0.012304463525528,0.759355653012708,0.119554769606346,"ns",0.707464646528823,0.73959835760973,1.35667189260469,0.86480179217275,0.917134172228997,0.300783621625952,0.443377565633752,0.353226285438846,"ns","MRFAP1",0.977871287128713,0.97863722117412,0.985701328495972,0.974755150287065,0.975549234400533,0.973031914893617,0.976834152557801,0.972186685619521,1.00238025170468,1.00576066025657,1.00907746306264,1.00264194594056,1.62187480612941,1.63160771879954,1.07650375064064,1.04980992299444,1.14088999139371,1.19816295288314,1.44871447902571,0.907925508878302,0.703438999781022,0.734344989348723,1.34575887744336,0.864847520481198,1.00496508024111,0.00314234156709895,0.126406907772558,"ns",0.912097596763576,0.297449758002382,0.423033623424245,"ns"
"17","O75937",81.4,36.7,69.8,80.3,48.7,47,45.6,60,62.7,71.9,85.2,56.5,35.7,64.9,65.9,54.7,"O75937","m1","O75937-K146","O75937-K146-m1","O75937-K146-m1-26",71754.7,6397.26376664273,80434.45,4118.96664589554,1.12096420164812,0.0495917434826343,0.0701384875321062,1.15404360348934,"ns",0.841374113668411,1.02874733788993,0.979501280959766,0.94226289960448,0.947971408030647,0.0794028840058913,0.397089182524028,0.401111943795128,"ns","DNAJC8",0.000793081596332851,0.000955730662072779,0.00101313026334252,0.000677840842970071,0.00125248303993328,0.000542730005870949,0.000910359578991301,0.00103301266630475,0.633207453551704,1.7609689011741,1.11289021033325,0.656178636603573,0.598280098280098,1.28065395095368,0.653295128939828,0.74719800747198,0.569377990430622,0.902642559109875,0.773474178403756,0.968141592920354,0.951691343348103,0.704829402538987,1.18395828185487,1.29569616519174,1.04081130041566,0.528490151669371,0.675626822009304,"ns",1.03404379823343,0.262107076524377,0.930794777396427,"ns"
"18","P35520",206.8,171.2,156.9,139.8,162,141.6,131.8,179,157.6,189.8,171.9,165.8,175.6,157.9,171.5,150.8,"P35520","m1","P35520-K137","P35520-K137-m1","P35520-K137-m1-29",90179.1,2266.43898660432,68044.725,4123.54156389464,0.754550943622192,-0.122311433440255,0.000331724752511956,3.47922212125025,"Down with DZNep",0.949025234452953,0.834222752171826,1.04359064568664,0.94657515954837,0.943353447964947,0.0856340141900034,0.340627431279487,0.46772038052608,"ns","CBS",0.00233919170240019,0.00277196026370134,0.00272211181402861,0.00226551323166307,0.00235186813161818,0.00193377498404523,0.00170028034577785,0.00151996338171195,0.994610059532009,1.43344509395955,1.60097822737773,1.49050513908526,0.783365570599613,0.827102803738318,0.840025493945188,1.28040057224607,1.11421319796954,0.831928345626976,0.997673065735893,0.909529553679131,1.42234129222285,1.00583427098403,1.18766998493142,0.710347662594092,1.37988462998864,0.266098035681441,0.0295500572661566,"Norm.Up with DZNep",1.0815483026831,0.300513007461835,0.825913416127529,"ns"
"19","Q14118",1198,1246.2,891.3,515.2,1163.6,971.1,1326.4,554.2,1061.5,1247.8,1093.2,591.7,1415.2,1413,1130.7,673.4,"Q14118","m1","Q14118-K609","Q14118-K609-m1","Q14118-K609-m1-30",3610.65,1290.39448877724,3796.375,1073.81836879738,1.05143810671209,0.0217837128715653,0.832458285537264,0.0796375197614377,"ns",1.19909232861362,1.35541483635311,0.755713062864346,1.07431218626393,1.09613310352375,0.254420633022502,0.67202761000192,0.172612883753979,"ns","DAG1",0.255002762630024,0.283365504712161,0.247117862471179,0.269505807333182,0.271261661081424,0.268936941603004,0.247714071315417,0.287131471883186,0.940061937294856,1.0536503576755,0.997593157138503,0.938614654693182,0.971285475792988,0.779248916706789,1.48816335689442,1.07569875776398,1.33320772491757,1.13239301170059,1.03430296377607,1.13807672807166,1.37262190997873,1.45318522415949,0.69501977654826,1.05798832606012,0.982480026700511,0.0548242278951348,0.675353729058875,"ns",1.14470380918665,0.344887782849294,0.644135593353889,"ns"
"20","P05204",1209.2,1120.3,614.6,614.6,1177.8,824.3,1002,885.1,938.1,1005.8,846,671.7,1299.5,1173.6,829.4,882.1,"P05204","m1","P05204-K36","P05204-K36-m1","P05204-K36-m1-33",45119.45,18818.0109644103,62822.1,4816.69305436832,1.39235074895638,0.143748652765966,0.155160801101638,0.809217986785808,"ns",0.267022692384329,1.29803026050245,0.627874830560238,0.901045346495049,0.773493282485516,0.43555549302731,0.292534157366207,0.533823416796949,"ns","HMGN2",0.0157689572921972,0.015003028051993,0.0126515834668031,0.0116032005970026,0.0680733201225004,0.0187024321675823,0.0126615396976146,0.0113243146633845,0.23164666074492,0.802196629698159,0.999213663499914,1.02462717982571,0.974032418127688,0.735785057573864,1.63032866905304,1.44012365766352,1.38524677539708,1.166832372241,0.980378250591017,1.31323507518237,1.42217728036182,1.58583319983209,0.601337797218801,0.911890495093307,0.764421033442175,0.368831644349491,0.380018906786104,"ns",1.1303096931265,0.454681781164796,0.945365643135,"ns"
"21","P80303",999.1,880,1057,1008.6,530,497.6,773.2,895.6,948.5,1056.9,1304.9,734.9,544.6,810.7,673.7,781.4,"P80303","m1","P80303-K206","P80303-K206-m1","P80303-K206-m1-34",2927.675,346.793736727371,2612.45,277.199104135157,0.89232923736412,-0.0494748770264654,0.207710772539691,0.682540978991035,"ns",0.796619820942665,0.957258243339372,0.932730339747812,1.01241318072972,0.924755396189892,0.0916926889705369,0.280710899618801,0.551740723979744,"ns","NUCB2",0.359484555618723,0.453157827037688,0.437372213842802,0.294490082147866,0.357587687902649,0.348832599992072,0.317694087944456,0.328866281913333,1.00530462255901,1.29906960257725,1.37670869695022,0.895470585900546,0.530477429686718,0.565454545454545,0.731504257332072,0.887963513781479,0.574169741697417,0.767054593622859,0.516284772779523,1.06327391481834,1.08236413005639,1.35652741637483,0.705785055390528,1.19742973479877,1.14413837699676,0.230364291274406,0.286689500711962,"ns",1.08552658415513,0.276994221342942,0.742595803595873,"ns"
"22","P32969",95.3,89.3,116.9,117.8,101.6,124.5,105.5,109.4,109.6,95.3,95.9,96.7,91.4,50.2,95.8,89.2,"P32969","m1","P32969-K91","P32969-K91-m1","P32969-K91-m1-84",63142.65,6384.74620456183,55962.45,5265.79705236222,0.886286052295873,-0.0524260852422203,0.135189758812192,0.86905620676579,"ns",1.02675945470442,0.7983508704104,0.866330869428498,0.890358874305516,0.895450017212208,0.0958197216789688,0.098009994102649,1.0087296369368,"ns","RPL9",0.00172667492193728,0.00179189229843562,0.00185791502799465,0.00174001605061341,0.00133484793518774,0.00139119109637698,0.00207747986941555,0.00194014855806446,1.29353679652988,1.28802743426274,0.894311928287099,0.896846812776695,1.06610703043022,1.39417693169093,0.902480752780154,0.928692699490662,0.833941605839416,0.526757607555089,0.99895724713243,0.922440537745605,0.782230659808035,0.377826942607787,1.10690144255717,0.993267781960076,1.09318074296411,0.228183843208608,0.657855322302288,"ns",0.815056706733266,0.321029569331537,0.151100914705053,"ns"
"23","Q14118",1198,1246.2,891.3,515.2,1163.6,971.1,1326.4,554.2,1061.5,1247.8,1093.2,591.7,1415.2,1413,1130.7,673.4,"Q14118","m1","Q14118-K611","Q14118-K611-m1","Q14118-K611-m1-85",3610.65,1290.39448877724,3796.375,1073.81836879738,1.05143810671209,0.0217837128715653,0.832458285537264,0.0796375197614377,"ns",1.19909232861362,1.35541483635311,0.755713062864346,1.07431218626393,1.09613310352375,0.254420633022502,0.67202761000192,0.172612883753979,"ns","DAG1",0.255002762630024,0.283365504712161,0.247117862471179,0.269505807333182,0.271261661081424,0.268936941603004,0.247714071315417,0.287131471883186,0.940061937294856,1.0536503576755,0.997593157138503,0.938614654693182,0.971285475792988,0.779248916706789,1.48816335689442,1.07569875776398,1.33320772491757,1.13239301170059,1.03430296377607,1.13807672807166,1.37262190997873,1.45318522415949,0.69501977654826,1.05798832606012,0.982480026700511,0.0548242278951348,0.675353729058875,"ns",1.14470380918665,0.344887782849294,0.644135593353889,"ns"
